#,Brand,Model,Year Start,Year End,BR,Sub Model,Doors,Seats,X,First Sample Container,Fitting Confirm
137,TOYOTA,HILUX 2D,2006,2015,,N2 SB,2,3,X0195,,Confirmed
138,TOYOTA,HILUX 2D,2016,2025,,N1 SS,2,2,X1335,pending,Confirmed
139,TOYOTA,HILUX 2D,2016,2025,,N2,2,3,X1259,,Confirmed
140,TOYOTA,HILUX 4D,2006,2015,,N1 SS,4,5,X0202,,Confirmed
141,TOYOTA,HILUX 4D,2006,2015,,N2 SB,4,5,X0203,,Confirmed
142,TOYOTA,HILUX 4D,2016,2025,,N1 SS,4,5,X1025,,Confirmed
143,TOYOTA,HILUX 4D,2016,2025,,N2 SB,4,5,X1141,,Confirmed
144,TOYOTA,HILUX 4D,2016,2025,,N3,4,5,X1148,,Confirmed
145,TOYOTA,INNOVA,2006,2015,,N1,4,7,X0096,,Confirmed
146,TOYOTA,INNOVA,2016,2022,,N1,4,7,X1212,,Confirmed
147,TOYOTA,INNOVA,2023,2025,,N3,4,7,X1996,Container #88,Confirmed
148,TOYOTA,LAND CRUISER,1998,2007,,N1,4,7,X0008,,Confirmed
149,TOYOTA,LAND CRUISER,2008,2015,,N1,4,7,X0001,Container # ,Confirmed
150,TOYOTA,LAND CRUISER,2008,2021,,N1,4,7,X0002,,Confirmed
151,TOYOTA,LAND CRUISER,2016,2021,,N1,4,7,,,Confirmed
152,TOYOTA,LAND CRUISER,2022,2025,,N1,4,7,X1763,,Confirmed
153,TOYOTA,LAND CRUISER,2016,2021,,N1,4,7,X002A,Container # ,Confirmed
154,TOYOTA,LAND CRUISER 2D,1990,2013,,,2,3,X0176,pending??,Confirmed
155,LEXUS,ES350H,2020,2024,,,4,5,X1592,Container #105,Confirmed
156,TOYOTA,PRADO,2003,2009,,N1,4,7,X0047,,Confirmed
157,TOYOTA,PRADO,2010,2020,,N1,4,7,X0038,,Confirmed
158,TOYOTA,PRADO,2021,2023,,N1,4,7,X1772,,Confirmed
159,TOYOTA,PRADO,2024,2026,,N1,4,7,X3015,,Confirmed
160,TOYOTA,RAIZE,2021,2025,,,4,5,X1829,Container #91,Confirmed
161,TOYOTA,RAV4,2006,2012,,,4,5,X0142,Container #91,Confirmed
162,TOYOTA,RAV4,2013,2017,BR2,,4,5,X1041,,Confirmed
163,TOYOTA,RAV4,2018,2025,,N1,4,5,X1562,,Confirmed
164,TOYOTA,RUSH,2017,2023,,,4,7,X1477,,Confirmed
165,TOYOTA,SEQUOIA,2008,2023,,N1,4,9,X0081,,Confirmed
166,TOYOTA,URBAN CRUISER,2016,2021,BR2,N2,4,5,X1814,,Confirmed
167,TOYOTA,URBAN CRUISER,2022,2025,BR2,,4,5,X1946,,Confirmed
168,TOYOTA,VELOZ,2023,2025,,,4,7,X1936,,Confirmed
169,TOYOTA,YARIS,2014,2020,BR1,N1,4,5,X0154,,Confirmed
170,TOYOTA,YARIS,2021,2024,BR1,N1,4,5,X1887,,Confirmed
171,HYUNDAI,H1,2014,2021,,N4,4,12,X0364,Container # ,Confirmed
172,GAC,GS8,2023,2025,,,4,7,,Container #105,Pending
173,ISUZU,D-MAX 4D,2017,2021,,N1 SS,4,5,X1462,Container # 99,Confirmed
174,MAZDA,CX90,2024,2025,BR2,,4,7,,Container #105,Confirmed
175,NISSAN,PATROL,2025,2026,,N2,4,7,X3117,Container #109,Confirmed
176,NISSAN,SENTRA,2012,2020,,N2,4,5,X0317,Container # 99,Confirmed
177,NISSAN,SENTRA,2012,2020,,N1,4,5,X0316,Container # 99,Confirmed
178,HYUNDAI,AZERA,2020,2024,,,4,5,,Container # 98,Confirmed
179,ISUZU,D-MAX 4D,2017,2021,,N3 SB,4,5,,Container # 99,Confirmed
